,normal_1000,normal_500,normal_250,normal_100,normal_70,normal_50,normal_30,normal_10,sged_knn_1000,sged_knn_500,sged_knn_250,sged_knn_100,sged_knn_70,sged_knn_50,sged_knn_30,sged_knn_10,sged_nn_1000,sged_nn_500,sged_nn_250,sged_nn_100,sged_nn_70,sged_nn_50,sged_nn_30,sged_nn_10,sged_nn_train_1000,sged_nn_train_500,sged_nn_train_250,sged_nn_train_100,sged_nn_train_70,sged_nn_train_50,sged_nn_train_30,sged_nn_train_10
0,98.53999972343443,97.46999955177309,96.10999938249589,94.31999925971031,92.91999930739404,91.28999921083451,86.719999396801,31.170000606775282,95.5,94.3,92.9,90.2,85.8,84.1,78.2,57.10000000000001,94.75999934673308,94.85999933481216,93.24999926686289,89.10999935865402,88.55999931097031,86.24999938309192,80.9399996370077,58.16000056415797,97.07999950051308,97.17999950051308,96.12999944686891,94.72999929189682,94.41999931931497,92.1999992966652,88.71999931335449,64.27000033408403
1,97.82999960780144,96.78999948501587,96.27999945878982,93.65999918580056,90.92999922037124,91.13999936580657,86.86999934613705,56.16000058874487,94.9,92.4,89.3,86.0,83.6,81.6,73.7,61.4,94.37999926805496,93.66999925374984,92.26999916434288,89.84999927282334,88.42999924123288,86.10999939739705,78.60999979674817,62.95000034272671,97.51999958753585,96.73999946713448,96.14999942183495,94.46999934315681,90.24999920725823,92.7099992632866,87.3899993121624,74.58999997079371
2,97.43999953866003,97.44999955892564,97.2399994969368,94.09999928474426,94.46999927163124,90.24999925196173,85.40999950170517,32.96000067517161,95.4,94.2,93.2,88.0,83.9,79.6,78.3,59.8,95.02999933958054,94.43999918103219,93.26999933719637,91.48999927043916,87.48999932706356,86.51999937593938,83.93999953866005,64.11000040844083,97.77999960184096,96.48999943137167,96.5199994325638,94.75999938249589,93.06999920010568,92.73999933600425,88.52999923229218,50.8300006300211
3,98.17999965548516,97.50999956727028,95.79999941587448,94.95999930500983,94.18999927639962,92.49999921321867,89.92999935150146,33.55000068172813,95.8,94.8,93.9,90.9,88.4,84.4,84.5,68.0,95.4599994301796,95.11999928355216,94.23999928236007,92.19999932050705,91.31999933123588,89.57999921441078,89.40999932289124,67.90000032782555,97.8899995982647,96.23999938964845,96.90999943614005,95.42999935150146,93.95999927520752,92.87999928593636,91.45999927520751,55.89000055864454
4,98.109999614954,96.20999941825866,96.189999461174,95.27999938726424,93.7999993443489,92.20999920368196,90.49999927282332,40.48000067025423,93.3,93.5,91.8,87.7,87.0,84.0,78.0,60.8,94.78999931812287,94.119999229908,92.95999932289124,91.24999929070472,88.9299992978573,87.55999934375286,84.67999952435493,68.8400001861155,97.19999952316284,97.12999945282937,95.95999940037728,94.7199993133545,93.87999929189682,94.79999936819075,92.34999930262563,71.57000008225441
5,97.96999957561492,96.71999945640563,97.24999950528144,93.84999930858612,94.25999931097031,93.20999923944471,89.52999919652939,28.810000574588766,96.6,95.1,94.0,89.0,87.4,86.2,85.4,71.0,95.20999937057496,95.18999932408332,94.38999934196472,91.96999931335448,89.73999928832053,88.58999931812286,87.89999933242798,71.21000013351441,98.42999970912932,97.85999957323074,95.92999937534333,94.54999927282334,94.31999930143355,91.04999922513962,91.51999918818474,65.09000039696693
6,97.72999956607819,97.45999954938888,96.219999396801,95.4399993479252,90.26999921798706,90.75999922156333,83.69999951422214,34.81000064834953,95.5,94.9,92.2,88.4,85.3,80.6,72.2,63.9,94.78999928236009,94.24999925494194,93.44999932050703,92.52999928593636,90.49999918341636,89.28999928236007,80.32999968230725,63.37000040262938,98.25999966859817,96.42999943494796,95.47999940514565,95.73999931216241,95.49999940395357,91.72999925613404,88.49999937415123,53.14000060930848
7,97.39999954104424,97.5999995946884,93.83999926447868,93.80999927520752,93.86999924778938,91.35999923348427,86.7799994379282,35.05000065937639,95.3,94.9,93.6,90.2,87.5,85.8,81.1,69.9,95.40999936461448,94.29999924302102,93.51999928355215,91.73999921679497,90.80999928116799,88.02999932169914,84.30999953448773,68.0500002682209,98.06999962925912,96.65999942421912,96.33999941945076,92.86999922394752,93.62999920248986,94.11999928951263,89.11999919414521,74.09000002145767
8,97.10999950170516,95.86999935507774,95.2799993634224,95.34999940395356,94.41999925971032,94.31999930739404,88.239999294281,31.22000063955784,95.8,94.4,92.4,90.7,88.8,85.9,79.7,62.6,95.109999281168,94.79999930858612,94.27999933362008,93.35999931097032,93.03999918699265,91.27999923229217,88.0699992597103,69.05000025033951,97.99999962449074,97.35999950766563,96.4199994146824,95.6799994289875,94.96999926567078,92.7099992454052,89.17999927997589,58.260000539571045
9,97.98999963998796,96.7999995291233,95.91999933123589,94.9099993109703,93.65999932885171,91.47999932169915,89.13999926745892,34.27000067457557,94.0,93.7,93.2,88.3,87.2,83.4,80.6,67.0,94.4999993145466,94.30999927520752,92.97999926209448,91.43999930620194,90.81999923586844,87.93999932110309,85.1499994456768,67.43000024557114,97.86999958753586,95.64999939799308,96.17999945878982,95.45999937057495,92.84999925494193,92.01999930143356,87.47999934256076,46.14000070765614
