,ged_knn_1000,ged_knn_500,ged_knn_250,ged_knn_100,ged_knn_70,ged_knn_50,ged_knn_30,ged_knn_10,normal_1000,normal_500,normal_250,normal_100,normal_70,normal_50,normal_30,normal_10,sged_knn_1000,sged_knn_500,sged_knn_250,sged_knn_100,sged_knn_70,sged_knn_50,sged_knn_30,sged_knn_10,sged_nn_1000,sged_nn_500,sged_nn_250,sged_nn_100,sged_nn_70,sged_nn_50,sged_nn_30,sged_nn_10,sged_nn_train_1000,sged_nn_train_500,sged_nn_train_250,sged_nn_train_100,sged_nn_train_70,sged_nn_train_50,sged_nn_train_30,sged_nn_train_10
0,67.8,63.46666666666667,55.86666666666667,41.73333333333333,37.0,34.0,26.8,25.13333333333333,86.46666598320007,82.3333330154419,75.99999972184499,63.866667191187545,51.466667215029396,53.46666719019413,45.666667371988304,22.80000040928523,68.0,71.33333333333334,69.33333333333334,57.99999999999999,56.00000000000001,54.666666666666664,54.0,30.0,63.333333730697625,61.20000035067399,60.60000053048134,53.26666743556658,47.133334080378205,47.86666723589103,52.666667491197586,31.533333957195282,86.06666588783264,79.26666617393494,74.13333322604497,63.00000040233136,55.66666714350382,54.733333905537926,47.93333393832048,21.93333380917708
1,69.53333333333333,62.6,55.00000000000001,42.8,40.4,37.8,38.93333333333333,30.266666666666666,86.59999942779541,77.13333330551784,68.20000022649765,61.0666670401891,53.00000073015689,51.06666736801465,45.46666742364566,15.866667022307714,72.66666666666667,68.66666666666667,68.0,63.33333333333333,54.666666666666664,52.666666666666664,51.33333333333333,30.0,64.00000043710072,63.333333730697625,58.80000044902166,54.000000551342964,49.40000070631504,50.13333402574063,51.20000073313713,27.400000497698784,85.53333262602489,78.1333332657814,72.33333334326744,60.86666722098987,57.000000635782875,58.066667298475906,48.60000057518482,29.266667271653812
2,67.2,62.26666666666667,55.00000000000001,41.86666666666667,40.8,34.46666666666667,29.93333333333333,20.133333333333333,85.39999934037526,79.39999973773956,68.5333335796992,62.200000335772835,57.4000007212162,52.86666727066041,43.33333388467629,21.533333828051884,71.33333333333334,70.0,60.66666666666667,54.666666666666664,53.333333333333336,51.33333333333333,45.33333333333333,22.666666666666664,61.53333392739297,61.13333384195963,59.86666713654994,55.20000054438909,54.600000773866974,51.06666749715805,48.66666732728481,30.00000065565109,86.06666600704193,79.86666645606358,68.86666663487753,63.66666712363561,62.00000045696894,54.73333396514257,43.40000069638093,31.06666720410188
3,68.93333333333334,63.4,56.13333333333333,44.86666666666667,44.6,37.46666666666666,27.399999999999995,25.533333333333335,83.66666650772095,81.19999965031943,73.06666654348373,61.40000048279762,52.73333386083444,53.00000058114529,43.20000071326892,19.133333737651505,78.0,74.0,68.0,62.66666666666667,56.666666666666664,56.666666666666664,45.33333333333333,34.66666666666667,63.60000039140383,60.80000061293443,57.86666748921077,52.866667295495674,49.533334021766976,48.2666673262914,37.73333397507668,32.73333398501078,85.33333273728688,81.39999957879385,72.8666667342186,60.466667021314294,55.333333979050316,53.933334082365036,46.20000060896079,29.20000057419141
4,67.86666666666666,60.93333333333333,51.0,41.8,39.86666666666667,34.733333333333334,31.53333333333333,23.6,84.86666631698608,77.79999995231628,73.93333355585735,59.000000566244125,55.26666726668675,56.13333396116893,47.333334078391395,17.86666705707709,70.0,67.33333333333333,60.66666666666667,52.0,52.666666666666664,48.66666666666667,46.666666666666664,28.666666666666668,62.53333338101705,59.80000074207783,60.66666719317436,51.26666723688443,51.40000072618326,51.00000075002511,41.400000592072814,30.2666673262914,85.59999934832256,77.46666649977367,75.26666676998138,63.73333381613095,58.06666727860769,53.86666732033094,48.0666672339042,27.200000564257305
5,68.2,62.0,53.6,38.733333333333334,34.266666666666666,31.866666666666667,28.53333333333333,22.93333333333333,80.53333298365276,80.99999956289928,74.53333316246669,56.13333408534527,52.73333382606506,50.80000070730845,40.06666734814644,23.133333876729008,74.0,73.33333333333333,58.666666666666664,49.33333333333334,44.0,46.0,41.33333333333333,30.0,61.66666725277901,62.333333949247994,59.60000059008599,49.73333386580149,46.33333403865496,47.06666754186154,43.40000072618326,27.600000535448395,84.39999957879384,80.4666664203008,73.2666666507721,56.73333396514256,54.13333381712436,53.066667268673584,44.33333391944567,27.66666728258133
6,67.4,60.73333333333333,54.53333333333333,39.53333333333333,37.266666666666666,34.733333333333334,25.13333333333333,28.199999999999996,83.73333289225896,79.46666630109152,71.13333340485892,57.066667169332504,47.86666722098986,45.466667403777436,33.80000060796738,25.53333392739296,76.0,64.0,58.666666666666664,56.00000000000001,50.66666666666667,49.33333333333334,41.33333333333333,31.33333333333333,63.666667103767395,60.93333364526431,56.000000551342964,50.933334032694496,44.13333395620187,44.266667311390236,37.80000055332979,33.66666736702124,84.53333286444345,78.73333305120468,70.00000017881393,58.00000047187011,47.73333403964837,49.93333395818869,38.266667356093734,28.400000616908073
7,66.0,62.4,56.266666666666666,44.4,40.86666666666667,37.733333333333334,30.06666666666667,29.2,85.3999993801117,82.3333330154419,74.66666656732559,64.13333376745382,57.86666735013326,46.73333397010962,40.60000067949295,22.06666709979375,70.66666666666667,65.33333333333333,65.33333333333333,59.333333333333336,49.33333333333334,42.0,48.0,25.33333333333333,61.60000040133794,64.2000004251798,61.133333866794906,56.86666729549567,50.53333396216234,46.5333339124918,40.333333979050316,30.266667221983273,84.06666592756908,78.59999988476434,75.46666651964188,68.13333373268445,58.800000578165054,46.000000680486366,49.20000064869722,25.60000048577786
8,67.8,62.0,53.733333333333334,42.2,38.53333333333334,38.06666666666666,31.2,32.266666666666666,85.73333283265431,79.799999833107,71.00000007947285,63.133333871761955,50.06666726370652,48.86666733026505,38.06666738291581,21.000000471870106,75.33333333333333,75.33333333333333,70.66666666666667,63.33333333333333,60.66666666666667,54.0,47.33333333333333,32.0,61.33333380023639,60.93333371480306,57.46666728456815,56.26666713257631,54.33333392441273,51.00000074505806,38.93333397308986,30.46666728456815,85.33333261807759,81.33333287636441,68.33333340287209,63.86666691303253,59.06666720906893,48.93333402276039,35.533334001898766,32.26666726668675
9,67.0,63.13333333333333,54.79999999999999,41.73333333333333,38.666666666666664,33.2,27.466666666666672,25.6,84.46666622161865,79.53333290417989,70.86666654547057,58.33333370089531,54.200000494718545,46.73333398004373,30.000000630815826,14.600000336766241,66.0,65.33333333333333,68.0,54.666666666666664,50.66666666666667,47.33333333333333,39.33333333333333,37.333333333333336,60.8000005185604,60.46666717529297,57.20000064869721,52.33333397905032,48.20000059405963,44.80000067750613,38.66666747629641,30.1333339959383,84.73333271344504,77.13333318630853,73.0000001390775,58.600000500679016,56.466667135556534,46.80000059803327,39.40000065167745,21.400000512599945
