,normal_1000,normal_500,normal_250,normal_100,normal_70,normal_50,normal_30,normal_10,sged_knn_1000,sged_knn_500,sged_knn_250,sged_knn_100,sged_knn_70,sged_knn_50,sged_knn_30,sged_knn_10,sged_nn_1000,sged_nn_500,sged_nn_250,sged_nn_100,sged_nn_70,sged_nn_50,sged_nn_30,sged_nn_10,sged_nn_train_1000,sged_nn_train_500,sged_nn_train_250,sged_nn_train_100,sged_nn_train_70,sged_nn_train_50,sged_nn_train_30,sged_nn_train_10
0,87.00999929606914,82.58999956846237,77.11999977827072,64.84000044837595,53.28000059872866,53.420000676810744,47.590000621229414,24.66000051423907,75.7,69.7,65.2,57.4,53.79999999999999,50.6,47.1,28.199999999999996,64.82000040560962,62.610000437498094,62.20000046417117,54.550000666081914,48.41000072360039,49.27000063434243,51.810000592470175,33.870000628381966,85.44999947696924,78.87999975085258,73.57000000178815,64.78000032007695,56.65000060796738,55.61000051721929,48.30000068992376,23.87000050991773
1,86.56999931633472,78.63999979197979,68.10000025182963,61.73000043556094,54.310000563412906,50.500000621378426,46.46000067442656,18.76000041514635,74.2,67.4,64.7,57.99999999999999,52.5,52.6,48.3,31.6,64.84000044763089,63.5200004003942,61.02000048533082,55.91000055596233,53.02000059112907,49.900000658631335,51.14000065252184,28.730000564455988,84.88999950885773,78.93999969363212,71.26000007092954,61.82000039443374,57.94000056982039,57.57000058591366,48.55000074729323,28.520000560581682
2,85.97999940514565,79.40999975204468,69.21000022366644,61.67000041529537,59.140000531822444,53.150000657141206,42.42000068575144,22.87000049427152,72.8,68.7,64.8,55.00000000000001,55.00000000000001,51.300000000000004,44.0,31.5,62.52000045329332,61.45000048056245,59.85000049769879,56.59000063240528,55.23000059574843,50.76000069826841,49.110000681132085,29.320000605285166,86.11999943554402,80.63999960124492,70.56000013202429,65.48000036925077,59.82000050544739,54.78000062182545,42.1900006711483,30.330000609904527
3,83.43999951183795,81.529999640584,72.81000010669231,61.45000047087671,57.00000065416098,50.74000058323145,41.07000066712497,17.730000390112398,76.5,72.4,70.3,62.8,59.599999999999994,53.2,47.0,35.1,64.51000028029085,62.310000422596936,59.08000050112605,52.83000062927604,52.01000062897801,48.95000057220459,40.64000066667795,34.3800006441772,85.65999939143659,80.76999961733819,72.44000014066697,61.510000492632386,56.410000660270455,55.46000060662627,46.09000066071749,27.98000056892633
4,84.94999942183495,79.0399998307228,73.59000001847744,58.32000055238604,56.670000644773246,55.70000054463744,47.36000067517162,18.76000040397048,74.0,69.2,65.1,59.3,57.99999999999999,55.00000000000001,45.4,28.499999999999996,63.060000373423094,60.85000049769879,60.08000047057867,52.740000654011965,52.34000064730644,50.280000688880676,43.13000070974231,30.590000636130572,84.54999949932099,78.9099996894598,74.92999988496304,65.11000042334199,58.020000508427614,53.00000064373016,47.95000072792173,28.530000568181276
5,80.62999965250492,80.58999975919724,76.10999989807605,56.99000065997243,53.89000059515238,51.00000061541796,41.250000642240046,21.270000471919772,75.7,71.5,65.6,54.7,51.7,51.300000000000004,42.4,28.999999999999996,63.250000309944156,63.36000040397048,61.08000047355889,51.53000069186091,47.12000067904592,50.53000061288476,45.4200006864965,28.780000571161512,84.93999940752983,80.80999968051911,72.91999998688698,59.15000057965517,56.1100005865097,56.03000062555075,45.42000067308545,28.92000057399273
6,84.33999944627286,80.25999963879585,72.72000008970501,58.53000052198768,50.14000068157911,45.220000693202024,34.72000062540174,26.840000562369827,72.9,65.3,61.3,53.79999999999999,49.5,48.1,39.6,30.9,63.61000032871962,62.150000502169135,57.72000060304999,52.01000065356492,45.63000067919493,45.840000738948575,36.99000064507127,34.10000064447522,84.99999946951866,77.7299998342991,69.68000025451182,61.05000054091215,48.92000067681074,50.38000069707632,38.97000066190958,28.110000576078892
7,86.30999937951565,82.27999963462352,74.88999996483327,62.60000049546362,57.3900005415082,46.95000068917871,39.91000065132976,20.92000045850873,73.3,70.9,68.3,60.699999999999996,59.0,53.6,48.2,31.7,62.50000045150519,63.38000047877431,61.900000429153444,53.65000060647726,51.67000064253807,45.86000069901347,41.79000068604946,30.830000621080394,83.63999949395657,79.34999975562096,75.96999993026256,67.530000269413,57.05000054836273,45.40000068321824,47.8200006455183,27.61000059992075
8,85.01999940872193,79.22999978959561,71.22000007554888,62.34000054523349,51.15000065118075,50.320000670105216,39.250000701099644,19.590000435709957,75.7,70.7,64.1,61.3,57.4,52.800000000000004,45.2,34.1,63.280000375956305,62.01000049933791,59.69000050574541,57.50000057294965,55.32000065520406,52.71000063791871,42.59000066965818,32.02000063508749,85.31999941766261,80.87999967932701,69.19000011384487,64.09000039547682,59.34000046402216,50.230000619590285,39.14000067785382,34.51000061780214
9,84.25999944210052,79.57999974489212,72.64000008404254,57.800000528246166,54.92000050544738,46.38000069707632,30.120000607520343,15.81000033915043,71.8,68.4,62.9,52.7,48.9,46.2,36.3,28.4,60.990000551939005,60.86000050753355,58.18000054061413,52.45000061094761,50.96000066399574,46.03000066578388,39.88000067472458,32.49000061750412,85.61999939382076,77.38999986350537,72.42000002861023,57.390000496059656,56.510000573098665,47.91000064462424,38.55000062063336,22.940000473707915
