,ged_knn_1000,ged_knn_500,ged_knn_250,ged_knn_100,ged_knn_70,ged_knn_50,ged_knn_30,ged_knn_10,normal_1000,normal_500,normal_250,normal_100,normal_70,normal_50,normal_30,normal_10,sged_knn_1000,sged_knn_500,sged_knn_250,sged_knn_100,sged_knn_70,sged_knn_50,sged_knn_30,sged_knn_10,sged_nn_1000,sged_nn_500,sged_nn_250,sged_nn_100,sged_nn_70,sged_nn_50,sged_nn_30,sged_nn_10,sged_nn_train_1000,sged_nn_train_500,sged_nn_train_250,sged_nn_train_100,sged_nn_train_70,sged_nn_train_50,sged_nn_train_30,sged_nn_train_10
0,88.6,84.0,77.86666666666666,64.6,62.06666666666667,55.86666666666667,47.86666666666667,44.46666666666667,98.39999973773956,97.06666612625122,95.46666602293652,93.86666603883108,93.66666611035664,91.26666561762492,85.33333271741867,32.00000065565109,95.33333333333334,94.0,94.66666666666667,90.66666666666666,84.0,80.66666666666666,74.66666666666667,60.0,94.86666591962178,93.99999912579854,92.79999911785126,89.33333237965901,86.99999936421712,87.19999929269154,79.93333290020624,55.73333397507667,97.13333276907605,96.99999948342641,95.79999931653342,94.79999923706056,94.86666584014893,91.33333253860474,88.33333277702332,63.53333379824956
1,87.8,84.33333333333334,77.93333333333334,69.73333333333333,66.73333333333333,61.53333333333333,53.6,47.06666666666667,97.99999968210857,97.33333277702332,95.8666658004125,93.93333256244661,90.73333247502644,92.06666596730551,84.33333257834117,57.66666728258133,95.33333333333334,94.0,93.33333333333333,88.66666666666667,88.0,84.0,77.33333333333333,66.66666666666666,93.99999924500784,93.73333263397215,92.06666600704192,89.73333259423573,87.26666601498921,85.79999931653342,77.53333312273026,62.86666702230771,97.93333295981088,97.3999995390574,96.46666610240936,95.1999994913737,89.46666586399078,92.73333243529002,87.73333259423573,73.33333335320155
2,88.46666666666667,84.26666666666667,78.4,68.13333333333334,63.866666666666674,60.93333333333333,54.13333333333333,48.73333333333333,97.26666609446208,97.93333292007448,97.13333276907605,93.66666575272879,93.6666659116745,89.66666603088379,86.53333266576131,33.4666673441728,94.0,94.0,92.0,84.0,80.66666666666666,76.0,74.66666666666667,62.66666666666667,94.99999940395357,94.19999941190083,93.19999921321867,90.86666580041248,87.66666595141092,85.93333284060161,83.26666633288066,63.66666708389918,97.66666626930235,96.93333276112874,96.9333328406016,94.59999930858612,92.73333263397217,93.86666595935822,87.86666595935822,52.46666744351387
3,89.46666666666667,86.46666666666667,81.66666666666667,71.33333333333334,68.86666666666666,65.33333333333333,54.06666666666666,52.46666666666666,97.8666661977768,97.93333295981088,95.59999934832256,95.33333265781404,94.86666599909464,93.06666592756908,89.26666585604349,33.533334066470466,94.66666666666667,94.66666666666667,92.66666666666666,88.66666666666667,87.33333333333333,84.66666666666667,85.33333333333334,64.66666666666666,96.06666600704192,95.53333286444348,94.53333254655202,92.1333323319753,90.53333258628844,89.86666595935822,88.66666583220164,66.06666692097983,98.19999957084656,96.39999945958456,96.99999952316284,95.19999917348227,92.73333259423573,92.26666577657065,90.53333266576132,53.66666722794374
4,87.73333333333333,85.06666666666666,77.2,69.93333333333334,64.6,62.33333333333333,50.06666666666667,50.8,97.93333299954732,96.1333327293396,96.86666623751321,94.66666583220163,93.46666566530864,92.06666560967764,91.06666596730551,40.4000007212162,94.0,92.66666666666666,92.0,83.33333333333334,83.33333333333334,85.33333333333334,74.66666666666667,54.0,94.86666611830393,93.66666587193808,92.7333323955536,91.53333262602487,88.73333255449931,89.13333253065746,83.79999939600626,68.53333340088527,97.86666627724966,97.5999995470047,95.19999953111012,93.93333256244661,95.06666604677835,94.93333268165588,91.59999918937683,70.66666676600775
5,88.66666666666667,83.6,77.0,68.8,65.8,63.733333333333334,59.06666666666667,54.93333333333334,97.53333290417989,97.19999957084656,97.06666632493337,94.399999499321,94.19999921321867,94.06666604677835,88.19999929269154,26.26666721204917,96.0,94.0,92.0,88.66666666666667,82.66666666666667,85.33333333333334,86.66666666666667,69.33333333333334,95.33333269755045,95.19999929269156,94.39999934037526,91.86666587988536,89.66666599114735,88.06666608651479,87.1999994913737,68.600000222524,98.99999980131784,98.2666662534078,96.39999945958456,95.26666605472563,94.86666591962178,91.06666592756908,92.19999933242796,64.26666693886122
6,88.66666666666667,83.6,80.13333333333334,72.93333333333332,68.6,63.06666666666667,46.33333333333333,42.73333333333333,97.99999964237212,97.73333307107288,96.13333284854887,95.3333326180776,90.19999929269156,90.79999923706056,82.39999936024348,35.06666721900304,94.66666666666667,95.33333333333334,94.0,90.0,88.66666666666667,84.66666666666667,77.33333333333333,71.33333333333334,94.73333259423575,93.6666657924652,92.66666575272879,92.66666583220164,90.33333257834116,88.39999930063883,80.99999976158142,63.93333379427592,98.33333293596904,96.13333268960315,95.39999945958456,95.26666609446208,95.26666605472563,89.93333252271016,88.13333268960318,52.53333407640457
7,87.6,82.8,78.6,70.4,67.53333333333333,63.6,56.733333333333334,44.733333333333334,97.53333286444345,97.79999963442484,93.19999913374583,93.46666602293652,93.53333254655202,90.26666589577992,86.26666617393494,35.200000603993736,92.66666666666666,92.0,87.33333333333333,88.66666666666667,87.33333333333333,86.0,81.33333333333333,69.33333333333334,94.93333252271016,94.39999918142956,92.99999928474426,91.86666564146677,90.7999993165334,88.06666612625122,84.59999966621399,67.6000003317992,97.99999960263571,96.73333263397215,97.33333289623259,91.86666595935822,93.06666600704192,94.59999926884967,88.19999921321869,73.86666653553645
8,88.86666666666667,87.2,79.8,68.86666666666666,63.53333333333333,61.66666666666667,49.6,51.33333333333333,97.53333282470705,95.53333262602489,96.26666609446208,94.46666610240936,95.26666605472563,94.66666595141092,88.19999917348225,32.866667295495674,96.0,93.33333333333333,91.33333333333333,90.66666666666666,89.33333333333333,88.66666666666667,81.33333333333333,68.0,95.46666598320009,95.06666592756908,94.99999936421713,93.79999927679697,93.3333324988683,91.99999928474426,88.39999918142955,69.93333369493484,97.59999962647757,97.59999946753184,96.73333275318146,96.19999957084656,94.53333258628844,92.99999920527141,89.46666594346364,57.86666718622049
9,88.06666666666668,85.53333333333333,80.26666666666667,70.66666666666667,69.8,61.8,55.733333333333334,46.86666666666667,98.13333292802174,96.59999934832257,95.79999939600626,94.99999940395357,93.59999950726828,92.06666588783264,89.26666581630707,36.533333982030555,93.33333333333333,91.33333333333333,92.0,89.33333333333333,85.33333333333334,84.0,78.66666666666666,64.0,94.39999938011171,94.39999934037526,92.99999920527141,91.46666586399078,91.73333251476288,88.06666598717372,84.39999943971634,67.46666693687439,97.73333279291788,95.93333260218301,96.19999945163727,95.59999930858612,92.93333276112874,93.06666584809619,87.7999993165334,49.80000071724256
